Word base            L.key                Suffixes id          W.form key                     W.form
a                    FX#CONJ#NOR          -                    -                              a
ah                   FX#EXCL#OSJ          -                    -                              ah
aha                  FX#EXCL#OSJ          -                    -                              aha
aj                   FX#EXCL#OSJ          -                    -                              aj
ako                  FX#CONJ#NOR          -                    -                              ako
al.                  FX#ABBR#OTH          -                    -                              al.
ali                  FX#CONJ#NOR          -                    -                              ali
arh.                 FX#ABBR#OTH          -                    -                              arh.
au                   FX#EXCL#OSJ          -                    -                              au
avaj                 FX#EXCL#OSJ          -                    -                              avaj
bar                  FX#ADV#OST.RAZN      -                    -                              bar
baš                  FX#ADV#OST.RAZN      -                    -                              baš
bez                  FX#PREP#UZ_G         -                    -                              bez
biti                 CH#V#                -                    V#ADV_PAS#|#1                  budavši
biti                 CH#V#                -                    V#ADV_PRE#|#1                  budući
biti                 CH#V#                V#AOR#biti           V#AOR#|S/1#1                   bih
biti                 CH#V#                V#AOR#biti           V#AOR#|S/2#1                   bi
biti                 CH#V#                V#AOR#biti           V#AOR#|S/3#1                   bi
biti                 CH#V#                V#AOR#biti           V#AOR#|P/1#1                   bismo
biti                 CH#V#                V#AOR#biti           V#AOR#|P/2#1                   biste
biti                 CH#V#                V#AOR#biti           V#AOR#|P/3#1                   biše
biti                 CH#V#                V#AOR#biti           V#AOR#|P/3#2                   bi
biti                 CH#V#                V##IMP/ij/           V#IMP#|S/1#1                   bijah
biti                 CH#V#                V##IMP/ij/           V#IMP#|S/2#1                   bijaše
biti                 CH#V#                V##IMP/ij/           V#IMP#|S/3#1                   bijaše
biti                 CH#V#                V##IMP/ij/           V#IMP#|P/1#1                   bijasmo
biti                 CH#V#                V##IMP/ij/           V#IMP#|P/2#1                   bijaste
biti                 CH#V#                V##IMP/ij/           V#IMP#|P/3#1                   bijahu
biti                 CH#V#                V#IMV#biti/-i        V#IMV#|S/2#1                   budi
biti                 CH#V#                V#IMV#biti/-i        V#IMV#|S/3#1                   bude
biti                 CH#V#                V#IMV#biti/-i        V#IMV#|P/1#1                   budimo
biti                 CH#V#                V#IMV#biti/-i        V#IMV#|P/2#1                   budite
